Year,Quarter,Month,Country,StateOrProvince,Revenue,Quantity
2001,3,7,US,MD,59.98,7
2001,3,7,US,MI,100.36,13
2001,3,7,US,MO,113.74,8
2001,3,7,US,MS,20,3
2001,3,7,US,MT,15,2
2001,3,7,US,NC,75,10
2001,3,7,US,ND,15,2
2001,3,7,US,NE,34.77,2
2001,3,7,US,NJ,117.89,13
2001,3,7,US,NY,187.9,19
2001,3,7,US,OH,15,2
2001,3,7,US,OK,55,6
2001,3,7,US,PA,115,15
2001,3,7,US,TN,30,4
2001,3,7,US,TX,176,15
2001,3,7,US,UT,15,2
2001,3,7,US,VA,10,2
2001,3,7,US,WA,94.96,5
2001,3,7,US,WI,40,6
2001,3,8,US,AL,65,10
2001,3,8,US,AZ,84.92,5
2001,3,8,US,CA,358.04,35
2001,3,8,US,CO,52.97,4
2001,3,8,US,CT,35,6
2001,3,8,US,DE,15,2
2001,3,8,US,FL,164.75,21
2001,3,8,US,IA,10,2
2001,3,8,US,IL,40,5
2001,3,8,US,IN,35,6
2001,3,8,US,KS,10,2
2001,3,8,US,KY,64.97,6
2001,3,8,US,LA,53.98,6
2001,3,8,US,MA,75,9
2001,3,8,US,MD,45,7
2001,3,8,US,MI,144.98,18
2001,3,8,US,MN,120.94,9
2001,3,8,US,MO,45,6
2001,3,8,US,MS,45,6
2001,3,8,US,NC,60,8
2001,3,8,US,ND,10,2
2001,3,8,US,NE,48.98,4
2001,3,8,US,NH,15,2
2001,3,8,US,NJ,50,8
2001,3,8,US,NM,15,2
2001,3,8,US,NV,15,2
2001,3,8,US,NY,65,10
2001,3,8,US,OH,55,7
2001,3,8,US,OR,20,2
2001,3,8,US,PA,76.95,7
2001,3,8,US,SC,25,4
2001,3,8,US,SD,74.95,2
2001,3,8,US,TN,30,5
2001,3,8,US,TX,85,11
2001,3,8,US,UT,10,2
2001,3,8,US,VT,25,4
2001,3,8,US,WA,15,2
2001,3,9,US,AR,35,5
2001,3,9,US,AZ,35,4
2001,3,9,US,CA,135,20
2001,3,9,US,CO,10,2
2001,3,9,US,CT,10,2
2001,3,9,US,DC,45,6
2001,3,9,US,FL,142.96,19
2001,3,9,US,GA,50,8
2001,3,9,US,HI,23.98,2
2001,3,9,US,IA,45,5
2001,3,9,US,IL,30,4
2001,3,9,US,KS,29.98,2
2001,3,9,US,KY,30,5
2001,3,9,US,MA,25,3
2001,3,9,US,MD,15,2
2001,3,9,US,ME,20,3
2001,3,9,US,MI,86.96,10
2001,3,9,US,MN,10,2
2001,3,9,US,MO,15,2
2001,3,9,US,MS,5,1
2001,3,9,US,NC,71.97,8
2001,3,9,US,NJ,25,4
2001,3,9,US,NY,75,9
2001,3,9,US,OH,90,13
2001,3,9,US,OK,25,4
2001,3,9,US,OR,29.94,2
2001,3,9,US,PA,134.97,13
2001,3,9,US,TN,55.98,5
2001,3,9,US,TX,75,11
2001,3,9,US,VT,15,2
2001,3,9,US,WA,81.34,8
2001,3,9,US,WI,85,13
2001,3,9,US,WV,38.95,3
2001,4,10,US,AK,20,3
2001,4,10,US,AL,138.97,19
2001,4,10,US,AR,15,2
2001,4,10,US,AZ,55,9
2001,4,10,US,CA,222.96,27
2001,4,10,US,CO,35,5
2001,4,10,US,CT,15,2
2001,4,10,US,DE,10,2
2001,4,10,US,FL,160.75,22
2001,4,10,US,GA,35,5
2001,4,10,US,HI,10,2
2001,4,10,US,IA,25,4
2001,4,10,US,IL,89.77,12
2001,4,10,US,IN,10,2
2001,4,10,US,KY,35,6
2001,4,10,US,LA,143.94,10
2001,4,10,US,MA,212.9,19
2001,4,10,US,MD,78.92,9
2001,4,10,US,ME,25,4
2001,4,10,US,MI,105,15
2001,4,10,US,MN,10,2
2001,4,10,US,MO,30,5
2001,4,10,US,MS,59.95,3
2001,4,10,US,MT,10,2
2001,4,10,US,NC,118.98,14
2001,4,10,US,NE,30,6
2001,4,10,US,NJ,50,6
2001,4,10,US,NV,25,4
2001,4,10,US,NY,142.94,14
2001,4,10,US,OH,162.89,17
2001,4,10,US,OK,35,5
2001,4,10,US,OR,25,5
2001,4,10,US,PA,89.97,8
2001,4,10,US,RI,20,2
2001,4,10,US,SD,15,2
2001,4,10,US,TN,138.93,11
2001,4,10,US,TX,238.95,25
2001,4,10,US,UT,59.94,2
2001,4,10,US,VA,85.98,11
2001,4,10,US,VT,30,4
2001,4,10,US,WA,30,6
2001,4,10,US,WI,48.93,4
2001,4,10,US,WY,35,4
2001,4,11,US,AL,91.94,5
2001,4,11,US,AR,170.61,13
2001,4,11,US,CA,317.95,40
2001,4,11,US,CO,60,9
2001,4,11,US,CT,15,2
2001,4,11,US,DC,10,2
2001,4,11,US,DE,29.99,1
2001,4,11,US,FL,81.98,11
2001,4,11,US,GA,55,8
2001,4,11,US,IA,25,4
2001,4,11,US,IL,56.96,7
2001,4,11,US,IN,35,6
2001,4,11,US,KS,59.96,6
2001,4,11,US,KY,45,8
2001,4,11,US,LA,15,2
2001,4,11,US,MA,116.35,14
2001,4,11,US,MD,65,8
2001,4,11,US,ME,62.97,2
2001,4,11,US,MI,60,8
2001,4,11,US,MN,29.96,2
2001,4,11,US,MO,60,8
2001,4,11,US,NC,57.77,6
2001,4,11,US,NE,48.97,6
2001,4,11,US,NH,29.94,2
2001,4,11,US,NJ,50,9
2001,4,11,US,NM,15,2
2001,4,11,US,NV,5,1
2001,4,11,US,NY,302.86,36
2001,4,11,US,OH,170,25
2001,4,11,US,OK,100,13
2001,4,11,US,OR,67.98,7
2001,4,11,US,PA,129.68,10
2001,4,11,US,SD,35,5
2001,4,11,US,TN,67.63,6
2001,4,11,US,TX,210.98,27
2001,4,11,US,VA,80,13
2001,4,11,US,VT,20,2
2001,4,11,US,WA,25,4
2001,4,11,US,WV,45,6
2001,4,12,US,AK,40,5
2001,4,12,US,AL,90.73,8
2001,4,12,US,AR,10,2
2001,4,12,US,AZ,20,3
2001,4,12,US,CA,409.94,58
2001,4,12,US,CO,72.76,10
2001,4,12,US,CT,112.94,11
2001,4,12,US,DC,10,2
2001,4,12,US,FL,190.98,26
2001,4,12,US,GA,154.89,16
2001,4,12,US,HI,15,2
2001,4,12,US,IA,40,8
2001,4,12,US,ID,35,5
2001,4,12,US,IL,168.94,23
2001,4,12,US,IN,55,8
2001,4,12,US,KS,30,4
2001,4,12,US,KY,97.97,12
2001,4,12,US,LA,30,4
2001,4,12,US,MA,83.96,9
2001,4,12,US,MD,35,6
2001,4,12,US,MI,135.94,14
2001,4,12,US,MN,30,6
2001,4,12,US,MO,80,12
2001,4,12,US,MS,72.99,6
2001,4,12,US,MT,44.94,2
2001,4,12,US,NC,45,8
